plot_Year,plot_Month,plot_Name,subplot,quad,tree_Number,inv_Status,stemtype,species_Code,dbh,soundness,crownclass,height,note,treedamage
2015,9,northnorth,1,null,1.1,IL,M,FRAAME,16,1,DC,null,"507WA, leaves gone",NONE
2015,9,northnorth,1,null,1.2,IL,M,FRAAME,13.3,1,DC,null,"507WA, leaves gone",NONE
2015,9,northnorth,1,null,2,IL,S,QUEMAC,9.4,1,DC,null,64BO-tree#other_study,NONE
2015,9,northnorth,2,null,3,IL,S,QUEMAC,13,1,DC,null,67BO,NONE
2015,9,northnorth,2,null,4,IL,S,QUEMAC,15.5,1,DC,null,68BO,NONE
2015,9,northnorth,2,null,5.1,IL,M,QUEALB,10.7,1,DC,null,29WO,NONE
2015,9,northnorth,1,null,5.2,IL,M,QUEALB,10.7,1,DC,null,29WO,NONE
2015,9,northnorth,3,null,6,IL,S,ULMAME,4.1,1,I,null,null,NONE
2015,9,northnorth,3,null,7,IL,S,QUEALB,7.1,1,DC,null,307WO,NONE
2015,9,northnorth,3,null,8,IL,S,PRUSER,3,1,I,null,null,NONE
2015,9,northnorth,3,null,9,IL,S,ULMAME,3.7,1,I,null,null,NONE
2015,9,northnorth,4,null,10,IL,S,QUEMAC,10.6,1,DC,null,null,NONE
2015,9,northnorth,4,null,11,IL,S,QUEMAC,8.3,1,DC,null,null,NONE
2015,9,northnorth,4,null,12,IL,S,QUEMAC,6.3,1,DC,null,null,NONE
2015,9,northnorth,5,null,13.1,IL,M,PRUVIR,3.2,1,O,null,null,none
2015,9,northnorth,5,null,13.2,IL,M,PRUVIR,3,1,O,null,null,none
2015,9,northnorth,5,null,13.3,IL,M,PRUVIR,2.8,1,O,null,null,none
2015,9,northnorth,5,null,13.4,IL,M,PRUVIR,3.1,1,O,null,null,none
2015,9,northnorth,5,null,13.5,IL,M,PRUVIR,3,1,O,null,null,none
2015,9,northnorth,5,null,14,IL,S,POPGRA,5,2,I,null,"trunk bark split, 50 - 100 cm",none
2015,9,northnorth,5,null,15,IL,S,QUEALB,19.9,1,DC,null,36WO,none
2015,9,northnorth,5,null,16,IL,S,QUERUB,15.7,1,DC,null,50NRO,none
2015,9,northnorth,6,null,17,IL,S,QUEMAC,6.8,1,DC,null,73BO,none
2015,9,northnorth,6,null,18.1,IL,M,QUEMAC,7,1,DC,null,72BO,none
2015,9,northnorth,6,null,18.2,IL,M,QUEMAC,6.4,1,DC,null,72BO,none
2015,9,northnorth,7,null,19,IL,S,ACESAC,6.9,1,DC,null,65M,none
2015,9,northnorth,7,null,20,IL,S,QUEALB,13.8,1,DC,null,33WO,none
2015,9,northnorth,7,null,21,IL,S,QUEMAC,10.6,1,DC,null,69BO,none
2015,9,northnorth,7,null,22,IL,S,QUEMAC,6,1,I,null,70BO,none
2015,9,northnorth,7,null,23,IL,S,QUEALB,11.4,1,DC,null,37WO,none
2015,9,northnorth,7,null,24,IL,S,ACESAC,7.6,1,DC,null,75M,none
2015,9,northnorth,7,null,25.1,IL,M,QUEALB,15,1,DC,null,31WO,none
2015,9,northnorth,7,null,25.2,IL,M,QUEALB,12.6,1,DC,null,31WO,none
2015,9,northnorth,8,null,26,IL,S,QUEMAC,4.5,1,I,null,null,none
