year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,school_status,lowest_grade_offered,highest_grade_offered,elem_cedp,middle_cedp,high_cedp,enrollment,bureau_indian_education,title_i_status,title_i_eligible,title_i_schoolwide,magnet,shared_time,virtual,lunch_program,teachers_fte,gleaid,school_id,geo_longitude,geo_latitude,leaid,geocode_accuracy,geocode_accuracy_detailed,state_leaid,state_fips_geo,seasch,county_fips_geo,street_mailing,puma,city_mailing,tract,state_mailing,block_group,zip_mailing,geoid_block,street_location,census_region,city_location,census_division,csa,zip_location,cbsa,phone,cbsa_name,fips,cbsa_type,latitude,cbsa_city,longitude,place_fips,geoid_place,place_name,urban_centric_locale,class_code,county_code,upper_chamber,congress_district_id,state_leg_district_upper,state_leg_district_lower,upper_chamber_name,lower_chamber,lower_chamber_name,lower_chamber_type,teachers_fte_crdc,teachers_certified_fte,teachers_uncertified_fte,teachers_first_year_fte,teachers_second_year_fte,teachers_current_sy,teachers_previous_sy,instructional_aides_fte,teachers_absent_fte,support_fte,counselors_fte,administration_fte,social_workers_fte,psychologists_fte,nurses_fte,law_enforcement_fte,security_guard_fte,law_enforcement_ind,salaries_teachers,salaries_total,salaries_instruc_staff,salaries_instructional_aides,salaries_support,salaries_administration,expenditures_nonpersonnel
mixed - most recent,"270819004415","112 ALC Independent Study","MN","EASTERN CARVER COUNTY PUBLIC SCHOOL","High","Other/alternative school","No","Open","9","12","No","No","Yes","39","","School is eligible for Title I Targeted Assistance (TAS) but provides no program","Yes","No","No","Yes","No","No","0","08190","2704415","-93.59692","44.841613","2708190","Not applicable","Street address","MN-010112","Minnesota","010112-010112067","27019","11 PEAVEY RD","01100","CHASKA","90900","MN","1","55318","270190909001","11 PEAVEY RD","Midwest","CHASKA","West north central","378","55318","33460","(952)556-6192","Minneapolis-St. Paul-Bloomington, MN-WI","Minnesota","Metropolitan statistical area","44.841613","No","-93.59692","10972","2710972","Chaska city","Suburb, large","Minor civil division equivalent (incorporated)","27019","27034","2703","27047","2747B","State Senate District 34","2734B","State House District 34B","State house district","","","","","","","","","","","","","","","","","","","","","","","","",""
mixed - most recent,"270819004622","112 ALC MIDDLE SCHOOL","MN","EASTERN CARVER COUNTY PUBLIC SCHOOL","Middle","Other/alternative school","No","Open","6","8","No","Yes","No","366","","School is eligible for Title I Schoolwide program (SWP) but provides no program","Yes","Yes","No","Yes","No","No","0","08190","2704622","-93.59692","44.841613","2708190","Not applicable","Point address","MN-010112","Minnesota","010112-010112066","27019","11 PEAVEY RD","01100","CHASKA","90900","MN","1","55318","270190909001","11 PEAVEY RD","Midwest","CHASKA","West north central","378","55318","33460","(952)556-6192","Minneapolis-St. Paul-Bloomington, MN-WI","Minnesota","Metropolitan statistical area","44.841613","No","-93.59692","10972","2710972","Chaska city","Suburb, large","Minor civil division equivalent (incorporated)","27019","27034","2703","27047","2747B","State Senate District 34","2734B","State House District 34B","State house district","","","","","","","","","","","","","","","","","","","","","","","","",""
mixed - most recent,"270819005118","112 ALC Seat-Based","MN","EASTERN CARVER COUNTY PUBLIC SCHOOL","High","Other/alternative school","No","Open","6","12","No","Yes","Yes","0","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","Yes","No","No","","08190","2705118","-93.59692","44.841613","2708190","Not applicable","","MN-010112","Minnesota","010112-010112071","27019","11 PEAVEY RD","01100","CHASKA","90900","MN","1","55318","270190909001","11 PEAVEY RD","Midwest","CHASKA","West north central","378","55318","33460","(952)556-6192","Minneapolis-St. Paul-Bloomington, MN-WI","Minnesota","Metropolitan statistical area","44.841613","No","-93.59692","10972","2710972","Chaska city","Suburb, large","Minor civil division equivalent (incorporated)","27019","27034","2703","27047","2747B","State Senate District 34","2734B","State House District 34B","State house district","","","","","","","","","","","","","","","","","","","","","","","","",""
mixed - most recent,"273239005353","196Online Elementary","MN","ROSEMOUNT-APPLE VALLEY-EAGAN","Primary","Regular school","No","Open","Kindergarten","5","Yes","No","No","61","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","Virtual with face to face options","No","4","32390","2705353","-93.174569","44.808904","2732390","Not applicable","","MN-010196","Minnesota","010196-010196766","27037","3455 153RD ST W","01201","ROSEMOUNT","60729","MN","2","55068","270370607292","3455 153RD ST W","Midwest","ROSEMOUNT","West north central","378","55068","33460","(651)423-7915","Minneapolis-St. Paul-Bloomington, MN-WI","Minnesota","Metropolitan statistical area","44.817947","Yes","-93.217124","17288","2717288","Eagan city","City, small","Minor civil division equivalent (incorporated)","27037","27038","2702","27051","2751A","State Senate District 38","2738A","State House District 38A","State house district","","","","","","","","","","","","","","","","","","","","","","","","",""
mixed - most recent,"273239005352","196Online High School","MN","ROSEMOUNT-APPLE VALLEY-EAGAN","High","Regular school","No","Open","9","12","No","No","Yes","108","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","Virtual with face to face options","No","6","32390","2705352","-93.174569","44.808904","2732390","Not applicable","","MN-010196","Minnesota","010196-010196067","27037","3455 153RD ST W","01201","ROSEMOUNT","60729","MN","2","55068","270370607292","3455 153RD ST W","Midwest","ROSEMOUNT","West north central","378","55068","33460","(651)423-7915","Minneapolis-St. Paul-Bloomington, MN-WI","Minnesota","Metropolitan statistical area","44.817947","Yes","-93.217124","17288","2717288","Eagan city","City, small","Minor civil division equivalent (incorporated)","27037","27038","2702","27051","2751A","State Senate District 38","2738A","State House District 38A","State house district","","","","","","","","","","","","","","","","","","","","","","","","",""
mixed - most recent,"273239005351","196Online Middle School","MN","ROSEMOUNT-APPLE VALLEY-EAGAN","Middle","Regular school","No","Open","6","8","No","Yes","No","76","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","Virtual with face to face options","No","5","32390","2705351","-93.174569","44.808904","2732390","Not applicable","","MN-010196","Minnesota","010196-010196066","27037","3455 153RD ST W","01201","ROSEMOUNT","60729","MN","2","55068","270370607292","3455 153RD ST W","Midwest","ROSEMOUNT","West north central","378","55068","33460","(651)423-7915","Minneapolis-St. Paul-Bloomington, MN-WI","Minnesota","Metropolitan statistical area","44.817947","Yes","-93.217124","17288","2717288","Eagan city","City, small","Minor civil division equivalent (incorporated)","27037","27038","2702","27051","2751A","State Senate District 38","2738A","State House District 38A","State house district","","","","","","","","","","","","","","","","","","","","","","","","",""
mixed - most recent,"271503005354","199 Online Elementary","MN","INVER GROVE HEIGHTS SCHOOLS","Missing/not reported","Regular school","No","Closed","Kindergarten","5","Yes","No","Yes","56","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","Yes","No","4","15030","2705354","-93.069417","44.864025","2715030","Not applicable","","MN-010199","Minnesota","010199-010199030","27037","5899 BABCOK TRAIL","01201","INVER GROVE HEIGHTS","60505","MN","4","55077","270370605054","5899 BABCOCK TRAIL","Midwest","INVER GROVE HEIGHTS","West north central","378","55077","33460","(651)306-7301","Minneapolis-St. Paul-Bloomington, MN-WI","Minnesota","Metropolitan statistical area","44.864025","No","-93.069417","31076","2731076","Inver Grove Heights city","Rural, fringe","Minor civil division equivalent (incorporated)","27037","27039","2702","27052","2752B","State Senate District 39","2739B","State House District 39B","State house district","","","","","","","","","","","","","","","","","","","","","","","","",""
mixed - most recent,"271503005356","199 Online High School","MN","INVER GROVE HEIGHTS SCHOOLS","High","Regular school","No","Open","9","12","No","No","Yes","24","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","Yes","No","3","15030","2705356","-93.047207","44.832598","2715030","Not applicable","","MN-010199","Minnesota","010199-010199090","27037","2920 80TH ST E","01201","INVER GROVE HEIGHTS","60507","MN","1","55076","270370605071","2920 80TH ST E","Midwest","INVER GROVE HEIGHTS","West north central","378","55076","33460","(651)306-7009","Minneapolis-St. Paul-Bloomington, MN-WI","Minnesota","Metropolitan statistical area","44.832598","No","-93.047207","31076","2731076","Inver Grove Heights city","Suburb, large","Minor civil division equivalent (incorporated)","27037","27039","2702","27052","2752B","State Senate District 39","2739B","State House District 39B","State house district","","","","","","","","","","","","","","","","","","","","","","","","",""
mixed - most recent,"271503005355","199 Online Middle School","MN","INVER GROVE HEIGHTS SCHOOLS","Missing/not reported","Regular school","No","Closed","6","8","No","Yes","Yes","34","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","Yes","No","3","15030","2705355","-93.045918","44.831704","2715030","Not applicable","","MN-010199","Minnesota","010199-010199060","27037","8167 CAHILL AVE","01201","INVER GROVE HEIGHTS","60507","MN","1","55076","270370605071","8167 CAHILL AVE","Midwest","INVER GROVE HEIGHTS","West north central","378","55076","33460","(651)306-7204","Minneapolis-St. Paul-Bloomington, MN-WI","Minnesota","Metropolitan statistical area","44.831704","No","-93.045918","31076","2731076","Inver Grove Heights city","Suburb, large","Minor civil division equivalent (incorporated)","27037","27039","2702","27052","2752B","State Senate District 39","2739B","State House District 39B","State house district","","","","","","","","","","","","","","","","","","","","","","","","",""
mixed - most recent,"270002504573","270 - HAP - IS","MN","Intermediate School District 287","High","Other/alternative school","No","Open","10","12","No","No","Yes","2","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","Yes","No","No","","14260","2704573","-93.412116","44.958246","2700025","Not applicable","Point address","MN-060287","Minnesota","060287-060287794","27053","2400 LINDBERGH DR","01404","MINNETONKA","26402","MN","1","55305","270530264021","2400 LINDBERGH DR","Midwest","MINNETONKA","West north central","378","55305","33460","(952)988-4509","Minneapolis-St. Paul-Bloomington, MN-WI","Minnesota","Metropolitan statistical area","44.958246","Yes","-93.412116","43252","2743252","Minnetonka city","City, small","Minor civil division equivalent (incorporated)","27053","27043","2703","27044","2744B","State Senate District 43","2743B","State House District 43B","State house district","","","","","","","","","","","","","","","","","","","","","","","","",""
